ID_HDC_G0,UC_NM_MN,STUDY_AREA_SCALE_FACTOR,NO_RUNS,NEED_CENTROID_CHECK,NEED_MAP_CHECK,DONE
2248,Tambawal,20,0,,,TRUE
2249,Aiye Coker,20,0,,,
2250,Wanikin,20,0,,,
2251,Inisa,40,0,,,TRUE
2252,Aiyepe Olode,20,0,,,TRUE
2254,Iragbiji,20,0,,,TRUE
2255,A‹n Oulmane,20,0,,,TRUE
2257,Ijagbo Offa,20,0,,,TRUE
2259,Yelwa,80,0,,,TRUE
2260,Ilesa,20,0,,,TRUE
2261,Setif,20,0,,,TRUE
2262,Eripa,40,0,,,TRUE
2266,Barika,20,0,,,TRUE
2267,Lerinin,20,0,,,TRUE
2270,Okitipupa,20,0,,,TRUE
2271,Tulqa,20,0,,,TRUE
2273,Ondo,20,0,,,TRUE
2274,Ouargla,40,0,,,TRUE
2278,Ebute Irele,20,0,,,TRUE
2281,Ile Oluji,20,0,,,TRUE
2282,Ore,20,0,,,TRUE
2283,Ila Orangun,40,0,,,TRUE
2284,Effon Alaiye,20,0,,,TRUE
2285,Imorun,20,0,,,TRUE
2286,Mahuta,20,0,,,TRUE
2287,Salka,20,0,,,TRUE
2289,Share,20,0,,,TRUE
2290,Kwara,20,0,,,TRUE
2291,El Eulma,20,0,,,TRUE
2293,Jijel,20,0,,,TRUE
2294,Mokwa,20,0,,,TRUE
2295,Ikoro,20,0,,,TRUE
2296,Aramoko-Ekiti,20,0,,,TRUE
2299,Igbara-Odo,20,0,,,TRUE
2300,Isarun,20,0,,,TRUE
2301,Biskra,40,0,,,TRUE
2302,Gummi,20,0,,,TRUE
2303,Ijero-Ekiti,20,0,,,TRUE
2304,Bodinga,20,0,,,TRUE
2305,Omu Aran,20,0,,,TRUE
2306,Otun,20,0,,,TRUE
2307,Ilawe-Ekiti,20,0,,,TRUE
2308,Oke Atan,20,0,,,TRUE
2309,Idanre,40,0,,,TRUE
2311,Sokoto,20,0,,,TRUE
2312,Akure,20,0,,,TRUE
2313,Ido Ekiti,20,0,,,TRUE
2315,Tahoua,20,0,,,TRUE
2316,Gwadabawa,20,0,,,TRUE
2318,Birni N'Konni,20,0,,,TRUE
2319,Ado Ekiti,20,0,,,TRUE
2320,Zuru,20,0,,,TRUE
2321,Ikerre,20,0,,,TRUE
2322,A‹n Touta,20,0,,,TRUE
2323,Tuga Nama,20,0,,,TRUE
2324,Rijau,20,0,,,TRUE
2326,Tadjenanet,20,0,,,TRUE
2327,Tamanrasset,40,0,,,TRUE
2328,Dange,20,0,,,TRUE
2330,Egosi,20,0,,,TRUE
2332,Wurno,20,0,,,TRUE
2333,Gulani,20,0,,,TRUE
2336,Lafiagi,20,0,,,TRUE
2337,Batna,40,0,,,TRUE
2338,Tamacine,20,0,,,TRUE
2339,Mara-Mawa,20,0,,,TRUE
2340,Kontagora,20,0,,,TRUE
2341,Ise,20,0,,,TRUE
2343,Chelghoum Laid,20,0,,,TRUE
2344,Dirinbaji,20,0,,,TRUE
2345,Touggourt,40,0,,,TRUE
2346,Ribah,20,0,,,TRUE
2347,Koko Town,20,0,,,TRUE
2348,Emure,20,0,,,TRUE
2349,Ikole,20,0,,,TRUE
2350,Mila,20,0,,,TRUE
2351,Egbe,20,0,,,TRUE
2352,Dogu‚raoua,20,0,,,TRUE
2354,Benin City,20,0,,,TRUE
2355,Owo,20,0,,,TRUE
2356,Galmi,20,0,,,TRUE
2357,Goronyo,20,0,,,TRUE
2360,Sapele,40,0,,,TRUE
2361,Ogharefe,80,0,,,TRUE
2363,Warri,20,0,,,TRUE
2364,Ke‹ta,20,0,,,TRUE
2365,Tchin-Tabaradene,20,0,,,TRUE
2366,Nasarawa,20,0,,,TRUE
2371,Omuo-Obadore,20,0,,,TRUE
2373,Igbe,20,0,,,TRUE
2374,Akugba,20,0,,,TRUE
2375,Pategi,20,0,,,TRUE
2377,Constantine,20,0,,,TRUE
2378,Ali Mendjeli,20,0,,,TRUE
2379,Ain Mlila,20,0,,,TRUE
2380,Oka-Akoko,20,0,,,TRUE
2381,Ekeremor,20,0,,,TRUE
2382,Ovwian,40,0,,,TRUE
2383,Isanlu Mopo,40,0,,,TRUE
2385,Ekinrin,40,0,,,TRUE
2386,Madaoua,20,0,,,TRUE
2387,Oburigbene,20,0,,,TRUE
2388,El Khroub,20,0,,,TRUE
2391,Bena,20,0,,,TRUE
2393,Amatebo,20,0,,,TRUE
2396,Bida,20,0,,,TRUE
2397,Aiyetoro,20,0,,,TRUE
2398,Ughelli,20,0,,,TRUE
2399,Mafara,20,0,,,TRUE
2400,Skikda,80,0,,,TRUE
2403,Ain Fakroun,20,0,,,TRUE
2404,Kabba,20,0,,,TRUE
2407,Ekpoma,160,0,,,TRUE
2409,Ekogboro,20,0,,,TRUE
2410,Amassoma,20,0,,,TRUE
2411,Kod‚m‚o,20,0,,,
2412,Enwan,40,0,,,TRUE
2413,El Oued,80,0,,,TRUE
2414,Okene,20,0,,,TRUE
2415,Agbor,80,0,,,TRUE
2416,Obinomba,40,0,,,TRUE
2419,Irri,20,0,,,TRUE
2421,Agwa,20,0,,,TRUE
2424,Magagindoke,20,0,,,TRUE
2425,Ozoro,40,0,,,TRUE
2426,Auchi,40,0,,,TRUE
2427,Oum El Bouaghi,40,0,,,TRUE
2428,Brass,20,0,,,TRUE
2430,Yenagoa,20,0,,,TRUE
2433,Agaie,20,0,,,TRUE
2434,Khenchela,20,0,,,TRUE
2435,Uromi,80,0,,,TRUE
2436,Owerre,40,0,,,TRUE
2438,Isa,20,0,,,TRUE
2443,Onitu,20,0,,,TRUE
2444,Biantubu,20,0,,,TRUE
2446,Shinkafi,20,0,,,TRUE
2447,Opaetensm,80,0,,,TRUE
2450,Minna,20,0,,,TRUE
2451,Ungwan Shekaro,20,0,,,TRUE
2453,Guelma,20,0,,,TRUE
2454,Ain Beida,20,0,,,TRUE
2455,Kaura-Namoda,20,0,,,TRUE
2456,Eulma,20,0,,,TRUE
2457,Ogwashi Uku,40,0,,,TRUE
2460,Tudun Wada,20,0,,,TRUE
2462,Gusau,20,0,,,TRUE
2464,Guidan Roumdji,20,0,,,TRUE
2465,Sefu,20,0,,,TRUE
2466,Sedrata,20,0,,,TRUE
2468,Uduagba,20,0,,,TRUE
2470,Akabuka,40,0,,,TRUE
2471,Asaba,40,0,,,TRUE
2472,Omoko,20,0,,,TRUE
2473,Omenama,20,0,,,TRUE
2476,Agenebode,20,0,,,TRUE
2478,Lokoja,40,0,,,TRUE
2479,Soku,20,0,,,
2480,Annaba,20,0,,,TRUE
2481,Awala,20,0,,,TRUE
2482,Idah,160,0,,,TRUE
2483,Okwuzu,40,0,,,TRUE
2484,Onitsha,40,0,,,TRUE
2485,S?o Tom‚,80,0,,,TRUE
2487,I-n-Gall,20,0,,,TRUE
2488,Kwayamisi,20,0,,,TRUE
2489,Krakrama,20,0,,,TRUE
2490,Ojaima,20,0,,,TRUE
2491,Amaigbo,80,0,,,TRUE
2492,Elele,20,0,,,TRUE
2495,Ozu,2560,0,,,TRUE
2496,Chafe,20,0,,,TRUE
2497,Cheria,20,0,,,TRUE
2498,Ibi,2560,0,,,TRUE
2499,Bugama,20,0,,,TRUE
2500,M'Daourouch,20,0,,,TRUE
2503,Abaji,20,0,,,TRUE
2505,Omo,20,0,,,TRUE
2508,Souk Ahras,20,0,,,TRUE
2509,Tibiri,20,0,,,TRUE
2510,Orogwe,20,0,,,TRUE
2511,Port Harcourt,20,0,,,TRUE
2512,Maradi,20,0,,,TRUE
2513,,20,0,,,TRUE
2515,Owerri,80,0,,,TRUE
2517,Omema,20,0,,,TRUE
2520,Gwagwalada,20,0,,,TRUE
2522,Awka,2560,0,,,TRUE
2525,Doka Ashafa,20,0,,,TRUE
2526,Gidan Mai Ungwan,20,0,,,TRUE
2528,Osina,2560,0,,,TRUE
2530,Okrika,20,0,,,TRUE
